,Unnamed: 0,Name,Rating,Date,Review
0,0,RED WHITE RAMEN,5 star rating,2/25/2022,"Service: 
We went as a group of 4 on a weekend but early in the day and were able to sit immediately. 
We were welcomed as soon as we walked in and the staff was beyond patient in describing the menu options and vegan options too!

Inside:
As soon as you walk in the amazing smells of fresh and delicious ramen overwhelmed the entrance and if I wasn't already, it sure would've made me instantly hungry!
Their decor and painted walls are super cool the music played in the background makes it a nice and casual eatery.

Ramen: 
Delicious, savory fresh and you can watch them prep it! 
Big portions you could easily split or take home for later!"
1,1,RED WHITE RAMEN,3 star rating,4/1/2022,"Happy to see a vegan ramen place. Boston has a lot of popular ramen joints but most of them don't offer a broth for vegetarians/vegan. Red white ramen is building up on that space by providing a number of vegan ramen. 

My favorites:
Tokyo Masala - Mildly Spicy. it brought out the flavors of the Indian sun-continent and reminded me of a popular noodle back in India. Loved it to every bit. Loved the way you could customize your ramens. If you are not a fan of bamboo, you could probably avoid them. 

Sesame ramen - Not for spice lovers. This one had a strong taste of sesame to each mouth. 

PROS: 
# heart of newbury street
# quick serving of the order 
# ample parking space 
# ample dining area 

CONS:
# not an eco-friendly place 
# plastic spoons, plastic forks, plastic chopsticks, paper ramen bowl."
2,2,RED WHITE RAMEN,2 star rating,1/17/2022,"So this is not traditional ramen. This has been heavily Americanized with cheese in it as well as loads of vegan and vegetarian options. Take that for what you will but I wasn't a fan. The flavor tasted fattening and bland. The name serves it right though, this is the kind of place you go to after a baseball game when you just need food and don't really care what it is. 

In Boston there is a wealth of Japanese Ramen spots that are keen to challenge your palette and present you with bold and well catered flavors. This just isn't one of the places. This flys in the face of what ramen should be, it isn't healthy, and it is clearly trying far too hard to be liked by the american sports crowd and masses walking past their Newbury location. 

Packaging feels like thought went into it at first glance but once you feel it it's cheap and flimsy. Not to mention it features quite a lot of plastic including a plastic coating around the bowl."
3,3,RED WHITE RAMEN,1 star rating,1/8/2022,"I was on a vegetarian ramen kick so when I saw this vegan ramen place I had to try it in hopes to find a vegan ramen that I could love. After eating at Red White I have to say I won't be back. I can deal when the food is ugly yet delicious but when it's both ugly and not delicious then I have a problem. 

The one dish I had the most problem with was the  MASTERPIECE ""Creamy Sesame Taste"". The broth as you continued to eat it was getting darker and darker, it was so unappealing. I think it was due to the black sesame and the mushrooms in the broth that made the broth turn dark. And there was too many toppings which turned out to be way overwhelming and it just didn't taste good overall. The fact it came in a paper container everything was a pile on top of each other and it became a bowl of mush. Ramen should be in a porcelain bowl PERIOD! Not in this ice cream container.

I also ordered the BUDDHA RICE with Roasted Miso Avocado. The only thing that tasted good was the roasted miso avocado. As for the rice itself it was a hodgepodge of rice and veggies, which I wanted sushi rice vinegar to season the mish mosh of rice and veggies. It wasn't anything delightful tasting really. However, it was definitely better tasting than the ramen I had. The hunt continues to find a vegan ramen I love."
4,4,RED WHITE RAMEN,5 star rating,12/27/2021,"It was cold out and my group was going to walk around and venture out to see some of Boston. I wanted something warm and found this Japanese Ramen place that's vegan. 
This place is small, has cute decor and service was fast. As you walk in there's a counter to place your order and pay. Once the order is ready, they call out your name to come pick it up. I had questions about the menu and the person at the counter took his time to explain to us about the options. 
The ramen was really good. The portions are big and filling or even shareable. We took one to go and they pack it up very well. 
It's definitely a place I'd go back to when I go back and visit again."
5,5,RED WHITE RAMEN,4 star rating,10/20/2021,"My friend and I came here to try this place thinking it was vegan friendly and we were not disappointed. I was in a bit of shock when the worker here told me everything is vegan (hooray for me) but not for long as they have so many flavors to choose from. I must say: these were the best noodles I have ever eaten. They were perfectly chewy and slurpable. We are still talking about it. 

They bring your food outside if you manage to snag a seat and are quite fast. I definitely recommend the masterpiece if you like sesame. The Sapporo broth was ok. I wouldn't have minded more ginger. The meat sub they use is pretty good but I wish it were sliced larger so it didn't sink to the bottom of the bowl. All in all, solid, affordable, delicious noodles."
6,6,RED WHITE RAMEN,5 star rating,10/13/2021,"Red White has some amazing ramen. But what's truly incredible is that it's all vegan. I grew up on ramen. Ramen is my comfort food. I know ramen. And let me tell you, I almost fainted from delight, their ramen was so good.

Bring all your friends here. Even meat-eater types. They won't even notice that there's no meat in here. The flavor is packed with umami. And rather than the standard toppings, they go with mushrooms, corn, and spinach -- and they work really well.

I thought I'd give this place a try because I was in town for the marathon, and I was trying to figure out how I could manage to eat a vegan ramen -- and this place was recommended to me by a friend of mine. So glad she did. I was here for four days, and you wanna know how often I ate here? FOUR TIMES.

I had their Sapporo Buddha, which has a really rich miso broth. Then on day 2, I brought a former colleague of mine for lunch, and we both had the Buddha Rice bowls. I figured I'd try something a little different. So glad I did, because that dish is crazy good. Do NOT be lulled into thinking it's just another power grain bowl. It's very rich in flavor and texture. Plus, the avocado with baked miso on top is just to die for. It just takes it to a whole 'nother level.

Day 3 was race day. That's right. After I ran 26.2 miles for a marathon, I walked the four blocks over, still wearing my mylar blanket, to this place, so I could take a bowl of ramen back to my hotel room to enjoy. Even after I showered and the soup wasn't super hot anymore, it was just as rewarding. I actually started thinking about it in the last miles of the race!

The last order was another Buddha Rice bowl, which I bought to take with me on my flight home. So glad I did. It was MUCH better than airline food.

Wish they had a Red White near my place (in SF Bay Area). Well maybe not. That would be dangerous. Because I'd want to eat there all the time.

Bottom line: Even if you eat meat, go check out Red White Buddha Ramen. These guys are making some amazing noodle bowls. I know there are some other popular ramen places near Back Bay (with way longer lines) but I'd recommend you try this place.

A couple of tips: The place is right on Newbury, but like a lot of places, the indoor dining and ordering counter are down a flight of stairs. There are several indoor tables, but the air circulation is pretty good, and the tables turn over pretty quickly. They also have outdoor seating in a ""parklet"" right in front of their establishment. ALL food is served in to-go containers regardless of whether you dine in or not. But the best part, if you order it to go, is their packaging. The soup is in the actual bowl portion, but they use a really clever lid that comes in two pieces: They nest like a regular clamshell container, and when you snap the two lid parts together, you also get to snap it on top of the soup bowl. That way, the noodles don't get soft until you're ready to mix it into the soup. Genius!

GO EAT HERE. You will NOT regret it. Trust me, next time I'm in Bahst'n, I WILL be eating here again. And again."
7,7,RED WHITE RAMEN,5 star rating,12/28/2021,"honestly a BOMB ramen place.

we ordered the dragon breath and it was so good. the spice comes from habanero pepper smashed on the side so you can add the spice to your liking. also, since its habanero, it doesn't alter the flavor, but gives it quite a kick. the noodles were chewy and thick and the soup was thiccc as well. the mushrooms inside were nicely marinated and it was really good :)"
8,8,RED WHITE RAMEN,4 star rating,4/5/2022,The Tokyo Masala was an interesting fusion. Very tasty.  It was also better when they let you choose the individual ingredients. The tables are too small and uncomfortable.
9,9,RED WHITE RAMEN,5 star rating,8/31/2021,"Stopped by for lunch while shopping on Newbury and ate one of the most delicious bowls of vegetarian ramen I've ever had. The porcini broth was creamy and flavorful with sesame and chili. The noodles had a nice chewy texture that complemented the broth well. The toppings also went well with everything else in the bowl. 

The ramen was priced well at about $12 and it came out pretty fast in a to-go container that I ate inside. The place was clean as well. I definitely want to come back and try their other ramens and with cheese topping too!"
