,Name,Address,Neighborhood,Market days,Market Hours,Online pre-order,Service Type,SNAP Incentive Program,Check Schedule,Latitude,Longitude
0,PSF Community Center,640 Washington St.,Brighton,Mondays *online pre-order pick up ONLY*,3:00pm-5:00pm,ONLY online pre-order pick up available,Pick-ups only,Accepts SNAP and HIP ,https://urldefense.proofpoint.com/v2/url?u=https-3A__www.aboutfresh.org_landing-2Dshop_&d=DwMFaQ&c=jHPlKdF3zLuO12CD8lDt5g&r=F-o-1eL3w9HHcDYtiVNqovj7lkfF6mDykCqtrk_vS40&m=AI3v9sN-ZHv7h8rC4mX2oLjwMh9B_AAWYHSv4jw1QmM&s=Ue5BSP_3Dbc7ut8EgclYDkFPlXtDyx4nfby29WX5qQk&e=,42.351947,-71.062401
1,The Village at Brookline,99 Kent St,Brookline,Friday,1O:3Oam-12:3Opm,NO online pre-order available,In person,Accepts SNAP and HIP ,https://www.aboutfresh.org/fresh-truck/#schedule,42.355492,-71.048611
2,Charlestown BHA,38 O'Reilly Way,Charlestown,Thursday,2:OO-5:OOpm,NO online pre-order available,In person,Accepts SNAP and HIP ,https://www.aboutfresh.org/fresh-truck/#schedule,42.355492,-71.048611
3,Franklin Field BHA,1OO Ames St,Dorchester,Friday,11:OOam-1:OOpm,NO online pre-order available,In person,Accepts SNAP and HIP ,https://www.aboutfresh.org/fresh-truck/#schedule,42.355492,-71.048611
4,DotHouse Health Center,7 Kimball St,Dorchester,Wednesday,1O:OOam-1:OOpm,NO online pre-order available,In person,Accepts SNAP and HIP ,https://www.aboutfresh.org/fresh-truck/#schedule,42.355492,-71.048611
5,Daniel Driscoll - Neponset Health Center,1O Minot St,Dorchester,Tuesday,9:3O-11:3Oam,NO online pre-order available,In person,Accepts SNAP and HIP ,https://www.aboutfresh.org/fresh-truck/#schedule,42.355492,-71.048611
6,Family Nurturing Center,2OO Bowdoin St,Dorchester,Tuesday,11:OOam-1:OOpm,NO online pre-order available,In person,Accepts SNAP and HIP ,https://www.aboutfresh.org/fresh-truck/#schedule,42.38241,-71.120062
7,Maverick Square,189 Sumner St,East Boston,Monday,3:OO-5:OOpm,NO online pre-order available,In person,Accepts SNAP and HIP ,https://www.aboutfresh.org/fresh-truck/#schedule,42.355492,-71.048611
8,Thomas Menino YMCA,1137 River St,Hyde Park,Thursday,3:OO-5:OOpm,Online pre-order available.,Pick-ups and in person,Accepts SNAP and HIP ,https://www.aboutfresh.org/fresh-truck/#schedule,42.257207,-71.120411
9,ABCD Mattapan,535 River St,Mattapan,Tuesday,1:3O-3:3Opm,NO online pre-order available,In person,Accepts SNAP and HIP ,https://www.aboutfresh.org/fresh-truck/#schedule,42.267187,-71.095451
10,Mission Park Apt,2 New Whitney St,Mission Hill,Wednesday,2:3O-5:3Opm,NO online pre-order available,In person,Accepts SNAP and HIP ,https://www.aboutfresh.org/fresh-truck/#schedule,42.334238,-71.109117
11,Washington Beech Apts,Beechland Circle,Roslindale,Tuesday,3:OO-5:OOpm,Online pre-order available.,Pick-ups and in person,Accepts SNAP and HIP ,https://www.aboutfresh.org/fresh-truck/#schedule,42.355492,-71.048611
12,UHM Properties,3 Quincy St,Roxbury,Saturday,1:OO-3:OOpm,Online pre-order available.,Pick-ups and in person,Accepts SNAP and HIP ,https://www.aboutfresh.org/fresh-truck/#schedule,42.355492,-71.048611
13,Charles St AME Church,28 Elm Hill Ave,Roxbury,Thursday,1O:OOam-12:OOpm,NO online pre-order available,In person,Accepts SNAP and HIP ,https://www.aboutfresh.org/fresh-truck/#schedule,42.355492,-71.048611
14,ABCD Geneva,198 Geneva Ave.,Roxbury,Wednesday,3:00-5:00pm,Online pre-order available.,In person,Accepts SNAP and HIP ,https://www.aboutfresh.org/fresh-truck/#schedule,42.305572,-71.075595
15,Fresh Truck ONLINE PICKUP ONLY. Visit fresh-truck.square.site/s/shop,69 ShirleySt.,Roxbury,"Monday, Saturdays","1:00-3:00pm (Monday), 12:00-2:00pm (Saturdays)",Online pre-order available.,Pick-ups only,Accepts SNAP and HIP ,https://www.aboutfresh.org/fresh-truck/#schedule,42.365223,-71.055259
16,Mary Ellen McCormack BHA,Sterling Square,South Boston,Thursday,1O:OOam-1:OOpm,NO online pre-order available,In person,Accepts SNAP and HIP ,https://www.aboutfresh.org/fresh-truck/#schedule,42.355492,-71.048611
17,West Broadway BHA,7 Joyce Hayes Way,South Boston,Wednesday,9:3Oam-12:3Opm,NO online pre-order available,In person,Accepts SNAP and HIP ,https://www.aboutfresh.org/fresh-truck/#schedule,42.337357,-71.054761
18,Lenox Camden,3 Kendall St,South End,Friday,2:3O-4:3Opm,NO online pre-order available,In person,Accepts SNAP and HIP ,https://www.aboutfresh.org/fresh-truck/#schedule,42.33517,-71.08135
19,Villa Victoria,5O Aguadilla St,South End,Friday,2:3O-5:OOpm,NO online pre-order available,In person,Accepts SNAP and HIP ,https://www.aboutfresh.org/fresh-truck/#schedule,42.34192,-71.07432
