,Name,Address,Latitude,Longitude
0,yo fresh yogurt cafe,8 Faneuil Hall Market Pl,42.355492,-71.048611
1,yankee doodle candy,56 Salem St,42.363197,-71.056291
2,y tea house corp,754 Huntington Ave,42.333487,-71.105724
3,wings live poultry,48 Beach St,42.301576,-71.054991
4,wild pops,3213 Washington St,42.312337,-71.101951
5,wendy's tea house,116 Spring St,42.276587,-71.165151
6,walden local meats,316 Shawmut Ave,42.34197,-71.07058
7,vivi bubble tea at mass ave,182 Massachusetts Ave,42.345748,-71.08668
8,vivi bubble tea,364 Washington St,42.348955,-71.153641
9,vermont country maple mixes,,42.355492,-71.048611
10,truffles,100 Huntington Ave,42.34721,-71.0782
11,tri seafood market corp,1504B Dorchester Ave,42.299377,-71.060221
12,tremont street yogurt llc,145 Tremont St,42.35526,-71.06289
13,the tea trike,29 Fairview St,42.289657,-71.129361
14,tea life inc,3 N Beacon St,42.353784,-71.137461
15,tea forte,91 Newbury St,42.351917,-71.075041
16,t baar,754 Huntington Ave,42.333487,-71.105724
17,sweet boba,9 Central Sq,42.374527,-71.038831
18,sweet & nasty,90 Massachusetts Ave,42.348579,-71.08813
19,sut-naga herbals,46 Wheatland Ave,42.29316,-71.07397
20,supreme sea products inc,145 Shirley St,42.32575,-71.06782
21,supreme meat,55 Food Mart Rd,42.355492,-71.048611
22,sulmona meat market,32 Parmenter St,42.364043,-71.05546
23,sugarfina,800 Boylston St,42.347177,-71.082511
24,stonewall kitchen,308 Congress St,42.351793,-71.049644
25,"stillman quality meats, llc",100 Hanover St,42.362177,-71.057491
26,star fish market,3089 Washington St,42.315541,-71.099077
27,sid wainer & son,15 May St,42.309697,-71.122741
28,shirazi distributing,138 Newmarket Sq,42.330277,-71.065961
29,shing hong trading inc,70 Kneeland St,42.355492,-71.048611
30,shaking seafood,19 Poplar St,42.286498,-71.12901
31,serenade chocolatier,2 South Sta,42.355492,-71.048611
32,"scire fruit, inc",64 Salem St,42.363357,-71.056151
33,salt city inc,100 Terminal St,42.382917,-71.055365
34,sakanaya,75 Linden St,42.30561,-71.06135
35,saga dairy inc,30 Union Park St,42.341648,-71.069614
36,roy's cold cuts,198 Marion St,42.375517,-71.034701
37,revolution juice,150 Huntington Ave,42.34491,-71.08179
38,retail beverage partners inc,173 Belgrade Ave,42.286437,-71.137851
39,resto meat market,213 Washington St,42.302167,-71.077901
40,reds best,136 Blackstone St,42.362177,-71.057491
41,red's best,37 Fish Pier,42.350947,-71.037831
42,red's best,212 Northern Ave,42.350446,-71.03823
43,purity cheese co inc,258 K St,42.334627,-71.037211
44,preparations market,222 Columbia Rd,42.307448,-71.07648
45,plaza fish market ii,777 William T Morrissey Blvd,42.29481,-71.04834
46,pinkberry,300 Terminal C,42.366677,-71.016431
47,pin ming bubble tea,5 Beach St,42.351456,-71.062545
48,phillips chocolates,818 William T Morrissey Blvd,42.294217,-71.046811
49,olde dutch cottage candy,518 Tremont St,42.344847,-71.069891
50,old japan inc,24 Union Park,42.342637,-71.071601
51,ocean fresh inc,2001 Beacon St,42.335634,-71.149896
52,nourish your soul,282 Cambridge St,42.360967,-71.068081
53,north end fish market,99 Salem St,42.363925,-71.055529
54,north american chinese tea,844 Dorchester Ave,42.322037,-71.056591
55,new york supply,50 Newmarket Sq,42.327967,-71.066401
56,new england kosher inc,240 Commercial St,42.363867,-71.051461
57,new boston meat,81 Newmarket Sq,42.328977,-71.067291
58,natalie's candy jar,300 Terminal E,42.355492,-71.048611
59,nam bac hong herbs inc,75 Harrison Ave,42.351118,-71.061563
60,ming yu seafood,10 Tyler St,42.350973,-71.060442
61,ming kee,54 Kneeland St,42.350712,-71.061274
62,mercato del mare,99 Salem St,42.363925,-71.055529
