Day,Time,Truck,Location,Pinpoint,Hours,Management,Notes,Link,x,y,ObjectId
Friday,11-3pm,Boston Coffee Rescue Corp.,Back Bay,BPL - Central,11-3pm,City of Boston,,https://www.facebook.com/BostonCoffeeRescue/,-71.0781982,42.3498623,1
Wednesday,11-3pm,Zaaki,Back Bay,Clarendon St (by Trinity Church),11-3pm,City of Boston,,,-71.075124,42.3505341,2
Thursday,11-3pm,Chicken & Rice Guys,Back Bay,Clarendon St (by Trinity Church),11-3pm,City of Boston,,https://cnrguys.com/,-71.075124,42.3505341,3
Monday,11-3pm,Taco Calleteco,Downtown,"City Hall Plaza, Fisher Park",11-3pm,City of Boston,,https://www.instagram.com/tacoscalleteco/,-71.0781982,42.3498623,4
Tuesday,11-3pm,Taco Calleteco,Downtown,"City Hall Plaza, Fisher Park",11-3pm,City of Boston,,https://www.instagram.com/tacoscalleteco/,-71.0781982,42.3498623,5
Tuesday,11-3pm,Papa Grande,Downtown,"City Hall Plaza, Fisher Park",11-3pm,City of Boston,,https://www.instagram.com/papagrande_comfort/,-71.0781982,42.3498623,6
Thursday,11-3pm,Revelry,Downtown,"City Hall Plaza, Fisher Park",11-3pm,City of Boston,,http://www.revelryboston.com/,-71.0781982,42.3498623,7
Friday,11-3pm,Tacos Don Beto,Downtown,"City Hall Plaza, Fisher Park",11-3pm,City of Boston,,https://www.facebook.com/foodtrucktacosdonbeto/,-71.0781982,42.3498623,8
Friday,11-3pm,Gourmet Kreyol,Downtown,"City Hall Plaza, Fisher Park",11-3pm,City of Boston,,https://www.gourmetkreyol.com/,-71.0781982,42.3498623,9
Thursday,11-3pm,Tacos Don Beto,Downtown,Milk & Kilby St,11-3pm,City of Boston,,https://www.facebook.com/foodtrucktacosdonbeto/,-71.0549777,42.3574224,10
Tuesday,11-3pm,Tacos Don Beto,Downtown,Pearl & Franklin,11-3pm,City of Boston,,https://www.facebook.com/foodtrucktacosdonbeto/,-71.0546428,42.3558296,11
Wednesday,11-3pm,Eloti,East Boston,Maverick Square,11-3pm,City of Boston,,https://www.instagram.com/elotiboston/?hl=en,-71.0398667,42.3689621,12
Friday,11-3pm,Perros Paisas,East Boston,Maverick Square,11-3pm,City of Boston,,https://www.instagram.com/perros_paisas/?hl=en,-71.0398667,42.3689621,13
Saturday,11-3pm,Perros Paisas,East Boston,Maverick Square,11-3pm,City of Boston,,https://www.instagram.com/perros_paisas/?hl=en,-71.0398667,42.3689621,14
Sunday,11-3pm,Eloti,East Boston,Maverick Square,11-3pm,City of Boston,,https://www.instagram.com/elotiboston/?hl=en,-71.0398667,42.3689621,15
Monday,4-8pm,Perros Paisas,East Boston,Maverick Square,4-8pm,City of Boston,,https://www.instagram.com/perros_paisas/?hl=en,-71.0398667,42.3689621,16
Tuesday,4-8pm,Perros Paisas,East Boston,Maverick Square,4-8pm,City of Boston,,https://www.instagram.com/perros_paisas/?hl=en,-71.0398667,42.3689621,17
Wednesday,4-8pm,Eloti,East Boston,Maverick Square,4-8pm,City of Boston,,https://www.instagram.com/elotiboston/?hl=en,-71.0398667,42.3689621,18
Sunday,4-8pm,Eloti,East Boston,Maverick Square,4-8pm,City of Boston,,https://www.instagram.com/elotiboston/?hl=en,-71.0398667,42.3689621,19
Tuesday,11-3pm,Revelry,Fenway,Belvidere St. (Dalton/Huntington),11-3pm,City of Boston,,http://www.revelryboston.com/,-71.0827839,42.3458135,20
Thursday,11-8pm,Street 55,Fenway,Belvidere St. (Dalton/Huntington),11-8pm,City of Boston,,https://www.instagram.com/street55boston/,-71.0827839,42.3458135,21
Tuesday,4-8pm,Chicken & Rice Guys,Fenway,Opera Pl.,4-8pm,City of Boston,,https://cnrguys.com/,-71.0891669,42.3407407,22
Wednesday,11-3pm,Taco Calleteco,Fenway,Opera Pl.,11-3pm,City of Boston,,https://www.instagram.com/tacoscalleteco/,-71.0891669,42.3407407,23
Thursday,11-3pm,Taco Calleteco,Fenway,Opera Pl.,11-3pm,City of Boston,,https://www.instagram.com/tacoscalleteco/,-71.0891669,42.3407407,24
Thursday,11-3pm,Gourmet Kreyol,Fenway,Opera Pl.,11-3pm,City of Boston,,https://www.gourmetkreyol.com/,-71.0891669,42.3407407,25
Monday,11-3pm,Across the Border,Kenmore,BU - East Campus,11-3pm,City of Boston,,http://www.acrosstheborderfood.com/,-71.1023555,42.3493844,26
Tuesday,11-3pm,Bibim Box,Kenmore,BU - East Campus,11-3pm,City of Boston,,https://www.facebook.com/Bibim-Box-1751040118466317,-71.1023555,42.3493844,27
Wednesday,11-3pm,Bon Me,Kenmore,BU - East Campus,11-3pm,City of Boston,,https://bonmetruck.com/,-71.1023555,42.3493844,28
