Name,Address,Neighborhood,Market days,Market Hours,Online pre-order,Service Type,SNAP Incentive Program,Check Schedule
PSF Community Center,640 Washington St.,Brighton,Mondays *online pre-order pick up ONLY*,3:00pm-5:00pm,ONLY online pre-order pick up available,Pick-ups only,Accepts SNAP and HIP ,https://urldefense.proofpoint.com/v2/url?u=https-3A__www.aboutfresh.org_landing-2Dshop_&d=DwMFaQ&c=jHPlKdF3zLuO12CD8lDt5g&r=F-o-1eL3w9HHcDYtiVNqovj7lkfF6mDykCqtrk_vS40&m=AI3v9sN-ZHv7h8rC4mX2oLjwMh9B_AAWYHSv4jw1QmM&s=Ue5BSP_3Dbc7ut8EgclYDkFPlXtDyx4nfby29WX5qQk&e=
The Village at Brookline,99 Kent St,Brookline,Friday,1O:3Oam-12:3Opm,NO online pre-order available,In person,Accepts SNAP and HIP ,https://www.aboutfresh.org/fresh-truck/#schedule
Charlestown BHA,38 O'Reilly Way,Charlestown,Thursday,2:OO-5:OOpm,NO online pre-order available,In person,Accepts SNAP and HIP ,https://www.aboutfresh.org/fresh-truck/#schedule
Franklin Field BHA,1OO Ames St,Dorchester,Friday,11:OOam-1:OOpm,NO online pre-order available,In person,Accepts SNAP and HIP ,https://www.aboutfresh.org/fresh-truck/#schedule
DotHouse Health Center,7 Kimball St,Dorchester,Wednesday,1O:OOam-1:OOpm,NO online pre-order available,In person,Accepts SNAP and HIP ,https://www.aboutfresh.org/fresh-truck/#schedule
Daniel Driscoll - Neponset Health Center,1O Minot St,Dorchester,Tuesday,9:3O-11:3Oam,NO online pre-order available,In person,Accepts SNAP and HIP ,https://www.aboutfresh.org/fresh-truck/#schedule
Family Nurturing Center,2OO Bowdoin St,Dorchester,Tuesday,11:OOam-1:OOpm,NO online pre-order available,In person,Accepts SNAP and HIP ,https://www.aboutfresh.org/fresh-truck/#schedule
Maverick Square,189 Sumner St,East Boston,Monday,3:OO-5:OOpm,NO online pre-order available,In person,Accepts SNAP and HIP ,https://www.aboutfresh.org/fresh-truck/#schedule
Thomas Menino YMCA,1137 River St,Hyde Park,Thursday,3:OO-5:OOpm,Online pre-order available.,Pick-ups and in person,Accepts SNAP and HIP ,https://www.aboutfresh.org/fresh-truck/#schedule
ABCD Mattapan,535 River St,Mattapan,Tuesday,1:3O-3:3Opm,NO online pre-order available,In person,Accepts SNAP and HIP ,https://www.aboutfresh.org/fresh-truck/#schedule
Mission Park Apt,2 New Whitney St,Mission Hill,Wednesday,2:3O-5:3Opm,NO online pre-order available,In person,Accepts SNAP and HIP ,https://www.aboutfresh.org/fresh-truck/#schedule
Washington Beech Apts,Beechland Circle,Roslindale,Tuesday,3:OO-5:OOpm,Online pre-order available.,Pick-ups and in person,Accepts SNAP and HIP ,https://www.aboutfresh.org/fresh-truck/#schedule
UHM Properties,3 Quincy St,Roxbury,Saturday,1:OO-3:OOpm,Online pre-order available.,Pick-ups and in person,Accepts SNAP and HIP ,https://www.aboutfresh.org/fresh-truck/#schedule
Charles St AME Church,28 Elm Hill Ave,Roxbury,Thursday,1O:OOam-12:OOpm,NO online pre-order available,In person,Accepts SNAP and HIP ,https://www.aboutfresh.org/fresh-truck/#schedule
ABCD Geneva,198 Geneva Ave.,Roxbury,Wednesday,3:00-5:00pm,Online pre-order available.,In person,Accepts SNAP and HIP ,https://www.aboutfresh.org/fresh-truck/#schedule
Fresh Truck ONLINE PICKUP ONLY. Visit fresh-truck.square.site/s/shop,69 ShirleySt.,Roxbury,"Monday, Saturdays","1:00-3:00pm (Monday), 12:00-2:00pm (Saturdays)",Online pre-order available.,Pick-ups only,Accepts SNAP and HIP ,https://www.aboutfresh.org/fresh-truck/#schedule
Mary Ellen McCormack BHA,Sterling Square,South Boston,Thursday,1O:OOam-1:OOpm,NO online pre-order available,In person,Accepts SNAP and HIP ,https://www.aboutfresh.org/fresh-truck/#schedule
West Broadway BHA,7 Joyce Hayes Way,South Boston,Wednesday,9:3Oam-12:3Opm,NO online pre-order available,In person,Accepts SNAP and HIP ,https://www.aboutfresh.org/fresh-truck/#schedule
Lenox Camden,3 Kendall St,South End,Friday,2:3O-4:3Opm,NO online pre-order available,In person,Accepts SNAP and HIP ,https://www.aboutfresh.org/fresh-truck/#schedule
Villa Victoria,5O Aguadilla St,South End,Friday,2:3O-5:OOpm,NO online pre-order available,In person,Accepts SNAP and HIP ,https://www.aboutfresh.org/fresh-truck/#schedule
