LocationName,Address,City,State,Zip,Description,Website,Phone,
A.D. Makepeace ,146 Tihonet Road,Wareham,MA,02571,A.D. Makepeace is the largest cranberry grower in the world. The market also offers a deli bakery ice cream and gifts. Cranberry Bog tours are also offered for groups. Offer cranberry tours PYO events festivals and a country market that sells New England products as well as fresh cranberries and cranberry products.,admakepeace.com,(508) 295-1000,
Abundance Family Farm,3 Number Six Schoolhouse Rd.,Charlton,MA,01507,Small family farm Certified organic. Small acreage with intensive plantings to mimic nature. No till practices. We grow a variety of vegetables and flowers. Summer and Winter CSA available. Open Saturdays and Sundays from 9:00 am to 5:00 pm.,www.abundancefamilyfarm.com,(757) 403-0759,
Agraria Farm,17 Willard Ave.,Rehoboth ,MA,02769,Small 25 acre farm located in Rehoboth purchased in 2000 the farm fueled by passion to grow a wide variety of berries - strawberries raspberries blackberries blueberries currants gooseberries elderberries lingonberries and more! Pick ups by appt.,,(508) 336-3823,
Alderbrook Farm,1213 Russells Mills Road,Dartmouth,MA,02747,Small family farm offering seasonal produce at their charming farmstand. Farm fresh eggs talking barnyard animals flowers honey and locally made roasted coffee coffee and maple syrup dairy products bread baked goods and more.,,(774) 264-0755,
Allandale Farm,259 Allandale Road,Brookline,MA,02445,Have launched online ordering. Orders will be available for pick-up on the farm. To ensure the health and safety of both customers and employees farm has established a “distance shopping” process which includes online payments & self-loading of your purchases. 60 acres mixed vegetables grown using organic practices; Outdoor Summer Program for children; farm market wholesale and CSA.  Product Categories Offered: Vegetables Flowers CSA Product Offered: Vegetables Flowers Pick-ups: On Farm (CSA),www.Allandalefarm.com,(617) 524-1531,
Allen Farm,421 South Road,Chilmark,MA,02535,Organic Sheep farm established in 1762 and still owned by the same family.  Handmade sweaters and handwoven blankets.,,(508) 645-2855,
Amy's Raw Honey,372 Ashburnham Hill Rd,Fitchburg,MA,01420,Raw honey producer with seasonal stand.,www.amysrawhoney.com,(978) 503-1851,
Anawan Farm,70 Anawan Street,Rehoboth ,MA,02769,Small family run farm - Will begin a field to fork delivery and pick up program in mid-June. Offer vegetables and flower bouquets: sunflower bouquets and mixed bouquets. PYO Sunflowers in July. Farm stand open July to September.  ,www.anawanfarm.com,,
Anderson Farm,386 Whitney St.,Gardner,MA,01440,Raise grass fed certified beef and pork. Also offer hay vegetables vegetable plants flowers and cheese.  ,,(978) 632-1163,
Andrew's Greenhouse,1178 South East Street,Amherst,MA,01002,A 150-acre family farm offering unusual perennials extraordinary annuals herbs and veggie starts. There are beautiful display gardens and cut-your-own bouquets. Farm animals to visit include horses sheep an extra-friendly black lab and cats.,,413-253-2937,
