LocationName,Address,City,State,Zip,Description,Website,Phone,
Acton-Boxborough Farmers' Market,Elm Street Playground 19 Elm Street,Acton,MA,01720,Dates & Times: June 27 to October 10 - Sunday 10:00 am - 1:00 pm; WIC & Senior Coupons Accepted; EBT-SNAP Accepted,www.abfarmersmarket.org,,
Amherst Farmers' Market,Amherst South Common,Amherst,MA,01002,Dates & Times: April 23 to November 19 - Saturday 7:30 am - 1:30 pm; WIC & Senior Coupons Accepted; EBT-SNAP Accepted with select vendors. ,www.amherstfarmersmarket.com,,
Andover Farmers' Market,41 Central Street South Church Parking Lot,Andover,MA,01810,Dates & Times: June 19 to October 16 - Saturday 10:00 am - 2:00 pm; WIC & Senior Coupons Accepted; EBT-SNAP Accepted ,www.andoverfarmersmarket.com,,
Annisquam Farmers Market,The Annisquam Village Hall 34 Leonard St,Gloucester,MA,01930,Dates & Times: June 18 to August 27 - Friday 9:00 am - 12:00 pm; EBT-SNAP Accepted with Select Vendors Only. ,,,
Arlington Farmers' Market,Massachusetts Ave & Pleasant St-Russell Common Parking Lot,Arlington,MA,02474,Dates & Times: June 9 to October 27 - Wednesday 2:00 pm - 6:30 pm; WIC & Senior Coupons Accepted; EBT-SNAP Accepted with select vendors only.   Covid-19 Shopping Options: Pre-order/Pick-up with some vendors. ,www.farmersmarketarlington.org,,
Ashburnham Farmers Market,Meetinghouse Hill,Ashburnham,MA,01430,Dates & Times: Last Saturday of the Month May 29 to October 29 - Saturday 10:00 am - 1:00 pm,www.facebook.com/AshburnhamFarmersMarket,,
Ashfield Farmers' Market,457 Main St.-Town Common,Ashfield,MA,01330,Dates & Times: May 15 to October 30 - Saturday 9:00 am - 1:00pm; WIC & Senior Coupons Accepted; EBT-SNAP Accepted with select vendors only,www.ashfieldfarmersmarket.com,,
Ashland Farmers' Market,125 Front Street-Across from the Ashland Public Library,Ashland,MA,01721,Dates & Times: June 11 to October 15 - Saturday 9:00 am - 1:00 pm; WIC & Senior Coupons Accepted; EBT-SNAP Accepted.   ,www.ashlandfarmersmarket.org,,
Athol Farmers' Market,1551 Main Street,Athol,MA,01331,Dates & Times: May to October - Saturday 9:00 am - Noon; WIC & Senior Coupons Accepted; ,www.townofathol.org,,
Attleboro Farmers' Market,201 County Street-Capron Park O'Connell Field next to Capron Park Zoo,Attleboro,MA,02703,Dates & Times: June 11 to October 22 - Saturday 9:00 am - 1:00 pm; WIC & Senior Coupons Accepted; ,www.attleborofarmersmarket.com,,
