,Name,Rating,Date,Review
0,Piattini,5 star rating,2/2/2022,"I finally got a chance to check this place out! I called a week ahead to make reservations for my party of 4 on a Friday night. The ambience was nice and the lightening wasn't too dark which I appreicated. 

We ordered two plates of the Black Truffle Ravoli, Scampi, and Salmon. We also ordered some wine, too. The food was super tasty with a lot of flavor and the price wasn't too bad either. I would definitely come back again for the food and to try more wine flights."
1,Piattini,3 star rating,4/9/2022,"Cali Wow turned into a Cali why salad.
Asked for the bold red they brought a glass of merlot. 
Nice outdoor eating area."
2,Piattini,4 star rating,12/5/2021,"I ordered the fusilli pesto and a wine flight. I highly recommend both. I'm not the biggest wine drinker so I don't have a go-to favorite wine. The wine flight was perfect for me since I could try a few sips of 3 different wines rather than having to commit to one glass of a wine I may or may not like, and in my opinion it was a good deal. 

The pasta dish was also really good. I was craving pesto and this hit the spot for sure!"
3,Piattini,2 star rating,4/9/2022,"Super long wait times. Not just for my table, but the other tables around me as well.   Poor experience, especially for the price. The table next to me waited over and hour for two salads :-("
4,Piattini,2 star rating,10/25/2021,"I was really looking forward to enjoying this restaurant, but unfortunately the environment completely overshadowed the food. We decided to wait 45 minutes on the waitlist and we were seated outside on the sidewalk. It was a lovely area and felt nice at first, but we were left sitting in the cold for over an hour waiting for our food! The temperature was in the high 40s and dropping, and we didn't have a heater near our table. I understand that their kitchen may be backed up, but an extra heater for the tables around us is definitely doable. The minute we finished our meal, our waiter came out with a new propane tank to make the closest heater to us stronger. Great timing! 

Overall, the food was about 3.5/5. It was quite expensive but the portion sizes were plentiful. Unfortunately our food got cold within 5 minutes of finally getting it out. Atmosphere on the sidewalk was a 2/5."
5,Piattini,4 star rating,9/20/2021,"I called and made reservations on a busy night. I had been to 2 restaurants in the area that said they were at capacity, so I was very pleased to be able to get an intimate table here.

The service was excellent, although a little slow but it was very busy. Our food was fresh and delicious, and I was very pleased by the meal. I believe the servers were doing the best they could while everywhere was packed to capacity. 

Shrimp scampi was great, and lamb chops & mac were very good. I'll try Piattini again in the future."
6,Piattini,5 star rating,3/15/2022,Great prices for being on Newbury street. Affordable and delicious! Cute patio dining perfect to stop at after a day of shopping.
7,Piattini,5 star rating,3/6/2022,"This is a great restaurant! The staff was very friendly and they brought out our food quickly! Delicious food and a nice location both make this a wonderful place to dine! Bread, spaghetti, chicken parmigiana, are all amazing!"
8,Piattini,3 star rating,6/19/2021,"We ordered a salad and a flight of wine. The salad promised a bit more than it delivered, being called ""cauliwow"". In the end it was more of a salad bar salad with corn and marinated cauliflower thrown in. 

The flight of wine was fun and unusual. 

Outdoor dining on newbury st makes up for most culinary sins, explaining the 4 star review."
9,Piattini,1 star rating,10/23/2021,"Update: hi Josephine, thank you for your prompt response. Here are my thoughts:

1. I wasn't aware of the garlic bread as it was not on the menu. But I am pretty sure that we have to order that separately and it doesn't come to the table for free :) 

2. I chose spinach gnocchi because of the good reviews i've seen as well! However it definitely did not meet my expectations. You commented that I should give the restaurant an opportunity to correct it. I did. I asked our waitress to ""reheat"" it because it was cold and hard. They responded super nicely and offered to recook it for me, yet when I got it back it was still cold and stale and I didn't bother to say it a third time especially considering the amount of time we had to wait for our waitress to come over (which I understand, it was busy, but it seemed like other tables around us were being served at a reasonable pace)

3. I was not aware that it was an OPTIONAL FEE as it was directly added onto our bill without my consent. I am not against having kitchen appreciation fee at all, all workers should be respected and appreciated for the hard work they put in. However, like you said, i believe it should be optional depending on the customers' personal experience. But that was not the case for us.

Again, this is my personal experience, which may not reflect other customers experiences here. People have different taste and different expectations for the restaurant. However I believe my personal option based on my personal experience should not be invalidated as ""simply complaining for the sake of complaining"". 

Thank you."
10,Piattini,4 star rating,11/20/2021,"Piattini is creative Italian dining on Boston's lovely Newbury Street. It's a bright & lively atmosphere, albeit a little loud for conversation.

Our dinner was delicious. I enjoyed the Salmon, which had the most amazing sauce. The cauliwow salad was also exceptional. Everyone in my party absolutely loved their meals. 2 of us had ravioli, 1 tried the meatballs & 1 had spaghetti Bolognese. 

The service, while friendly, left a little to be desired. We did feel a little ignored. That being said, it was a really busy Saturday evening. I would still go back, everyone has an off night every so often & the food was well worth it."
11,Piattini,4 star rating,2/8/2022,"Go here for the burrata!! The best appetizer I have ever had: heirloom tomatoes, prosciutto, burrata and fresh bread."
12,Piattini,2 star rating,7/1/2021,"This place may get lots of accolades but don't be fooled. My friend & I went to celebrate our birthdays & what a disappointment. The menu has small lettering so hard to read in such darkness. The service here is slow as anything, super inattentive which is not ok. We had to have to ask for water & bread multiple times which is pretty basic to make sure customers have. He checked on us only once towards the end, we had to flag him down the other times & he passed by our table all the time to get to his other tables & the kitchen. There is no reason for two people to have to sit around for that long & not be taken care of, it was like we were invisible. 

The staff come in from waiting on tables outside & then throw the dirty dishes very loudly into a tub that was only a few ft from us & it was super loud, unprofessional, & annoying. We basically had a 2+ hr meal which was salad & dessert. This whole place is loud, like more than it should be & it was such bad acoustics my friend had to adjust her hearing aid to try to hear me w/out the background noise. So no I won't go back & don't think you should bother."
13,Piattini,3 star rating,3/15/2022,"Came here on a whim with my friend. We ordered a pizza and bolognese. The pizza was enjoyable, and both the toppings and crust were good. On the other hand, the pasta in the bolognese was so overcooked and tasted like my old school lunches... The sauce itself was also just okay. Service wise, we were seated promptly, but the waiter didn't check in at all during the meal. This normally wouldn't have bothered me, but he never came to refill our waters during our meal either and barely looked in our direction so I couldn't even ask for a refill..."
14,Piattini,3 star rating,8/10/2021,"I love right off Newbury so tried this place out for lunch on a Saturday. We went pretty early, around 11am before crowds hit. I ordered the Shrimp Salad and my friend ordered the vegan ravioli. Newbury street is a very expensive street so prices were understandably high here as well. However I was extremely underwhelmed: 

Service: the waiters and hostess basically stand around a gossip and act as if it's an inconvenience to serve you. We had to physically flag the waiter any time we needed something 

Food: I cook quite a bit and the shrimp was extremely odd. For an $18 salad, I expected more than 3 shrimp and honestly I didn't even eat two of them because of an over cooked and stale taste. Super disappointing. The greens were fresh however. My friend did enjoy her ravioli. 

Ambience: it's Newbury street and very cute for people watching so no complaints there. 

Overall just super average and NOTTT worth the price"
15,Piattini,4 star rating,8/10/2021,"My boyfriend and I checked out this place during a trip to Newbury St. because it has the cutest patio area! Really great ambiance for a casual date, friend get together, or even for a lunch break from shopping. 

For cocktails, I ordered the Il Spritzer and my boyfriend ordered the vodka lemonade. The vodka lemonade was so good that I ordered it for my second round. We ordered the meatballs as an appetizer and got the shrimp scampi and burrata pizza as entrees. I would highly recommend the burrata pizza and definitely add prosciutto! The waiter said the shrimp scampi is their most popular dish but for me, it was just so-so. Probably going to order something else next time. 

Overall, it was a great spot and I'd recommend it to anyone in the area!"
16,Piattini,4 star rating,4/8/2021,"This place is definitely on the pricier end but overall pretty satisfied with my meal! The burrata ravioli is a must! The burrata is so creamy and sandwiches the fried eggplant perfectly, and is surrounded by such a rich tasty sauce which was honestly perfect for dipping the complementary bread in. The spinach gnocchi however was a bit heavier and a bit underwhelming; the flavors weren't too special or distinct and the gnocchi was a bit less soft and chewy as I would have preferred. The warm chocolate torta dessert definitely hit the spot though: the chocolate cake was so warm and had a softer center, and was paired so perfectly with the ice cream!!"
17,Piattini,5 star rating,12/17/2021,"Piattini has a really great vibe, great food, and great wine! What really brought me to this place though was the ""impossible"" ravioli - I'd never seen it on any menu before and loved that they had a really interesting vegan option (btw, it was great). I also recommend the wine flight!"
18,Piattini,2 star rating,2/25/2021,"The service was great but unfortunately, the gluten-free options were disappointing.

After walking around Newbury street, my boyfriend and I decided to try out Piattini after seeing they had gluten-free options for both pizza and pasta. If you're gluten-free, you know how hard it can be to find good GF Italian options! Sadly, the pizza and pasta we ordered were not great. 

The gluten-free Margarita pizza was clearly a frozen cauliflower crust, but the problem wasn't the crust, it was that the toppings kept sliding off the pizza. Every time I picked up a slice, the sauce and cheese would simply slide off the crust making it really hard to not only pick up but also enjoy the pizza. 

The gluten-free pasta Bolognese was also disappointing as the gluten-free pasta was overcooked and very chewy. The sauce was also underseasoned. 

Maybe their regular pizza and pasta is better, but when it comes to gluten-free options maybe opt for a different place."
