FID,STREET_NAM,ROADINVENT,FUNCTIONAL,JURISDICTI,Divided,InstallDat,ExisFacil,Shape_Leng,Shape__Length
1,Veterans Of Foreign Wars Parkway,6212500,2,3,1,2013,BL,175.249590384,574.964697772898
2,Veterans Of Foreign Wars Parkway,4847800,2,3,1,2013,BL,82.5011606868,270.672558019821
3,Veterans Of Foreign Wars Parkway,4838800,2,3,1,2013,BL,81.2270240073,266.492327920391
4,Lake Street,4547801,6,2,0,2010,SLM,137.040789804,449.607991199618
5,Commonwealth Avenue,5141000,3,2,1,2013,SLM,213.655204603,700.967117148925
6,Commonwealth Avenue,5673800,3,2,1,2013,SLM,214.586170025,704.021459465571
7,Lake Street,4540000,6,2,0,2010,SLM,98.3328303472,322.613627593831
8,Lake Street,4535900,6,2,0,2010,SLM,198.175388909,650.180421762629
9,Faneuil Street,5454700,3,2,0,2010,BL,37.6627034623,123.565052964721
10,Washington Street,4505600,3,2,0,2010,BL,55.2795339916,181.362937746932
11,Faneuil Street,4485300,6,2,0,2017,SLM,59.8905090006,196.49077832633
12,Veterans Of Foreign Wars Parkway,5107800,2,3,1,2013,BL,83.1971250955,272.955901250568
13,Beacon Street,4600100,3,2,0,2009,BFBL,57.3115144285,188.029526894058
14,Commonwealth Avenue,6227100,3,2,1,2013,BL,167.106824497,548.249640015797
15,Washington Street,4506300,3,2,0,2010,BL,42.0331826708,137.903866812993
16,Faneuil Street,4481600,6,2,0,2017,BL,48.9446080694,160.579101634313
17,Faneuil Street,5648900,6,2,0,2017,BL,56.8480237649,186.508891301674
18,Baker Street,5437300,6,2,0,2014,BL,95.1479327799,312.164509442871
19,Veterans Of Foreign Wars Parkway,4984800,2,3,1,2013,BL,86.7393801741,284.57744976407
20,Veterans Of Foreign Wars Parkway,4933300,2,3,1,2013,BL,496.232801666,1628.05709695003
21,Veterans Of Foreign Wars Parkway,6222500,2,3,1,2013,BL,297.55920715,976.242165450414
22,Baker Street,5688000,6,2,0,2014,BL,38.3888523019,125.94742628412
23,Commonwealth Avenue,5717400,3,2,1,2013,SLM,32.2532358595,105.817491346039
24,Chestnut Hill Avenue,5701700,5,2,0,2010,SLM,117.515923596,385.55015931678
25,Chestnut Hill Avenue,4534000,5,2,0,2013,BL,67.6963820265,222.100546702274
26,Western Avenue,5126300,5,2,0,2015,BLSL,59.3168935651,194.608841664771
27,Washington Street,5304500,3,2,0,2010,SLM,34.4526824529,113.033509012768
28,Market Street,5789600,5,2,0,2013,BL,18.144745268,59.5298851060001
29,Washington Street,4504200,3,2,0,2010,SLM,69.1059547987,226.725120032053
30,Washington Street,5304400,3,2,0,2010,BL,43.3010143833,142.063411378957
31,Washington Street,5824200,3,2,0,2010,SLM,40.9149831263,134.235240450169
32,Market Street,5273900,5,2,0,2013,BL,23.2719237437,76.3513031595066
33,Belgrade Avenue,4899500,3,2,0,2009,BL,69.0599849193,226.57430049904
34,Veterans Of Foreign Wars Parkway,6287101,2,3,1,2013,BL,74.9872316398,246.020609139647
35,Veterans Of Foreign Wars Parkway,5212800,2,3,1,2013,BL,1089.71352287,3575.16844960495
36,Western Avenue,4438100,5,2,0,2015,BLSL,53.2217222256,174.611600354602
37,Perkins Street,6276500,5,3,1,2008,BL,78.2086553922,256.58956354432
38,Centre Street,4828700,5,2,0,2019,BFBL,75.805023867,248.703649117001
39,Everett Street,5719400,6,2,0,2017,BLSL,12.9011826774,42.3266301525887
40,Western Avenue,5126200,5,2,0,2015,BLSL,85.4538888929,280.359967125416
41,Centre Street,5148000,5,2,0,2010,SLM,44.1838248871,144.95976547937
42,Cambridge Street,4468100,3,2,0,2015,BL,65.060576072,213.452906642581
43,Franklin Street,4447700,0,2,0,2010,SLM,38.0355157441,124.788187899365
44,Franklin Street,4442100,0,2,0,2010,SLM,102.682346214,336.883664200259
45,Western Avenue,5126600,5,2,0,2015,BLSL,64.8769759633,212.850545301746
46,River Street,5076100,5,2,0,2012,BLSL,39.033078846,128.061026183156
47,Cummins Highway,5154600,3,2,0,2012,BL,145.183236214,476.322000804265
48,Washington Street,5705200,3,2,0,2009,BL,78.9603252755,259.05566719993
49,Centre Street,5731300,2,3,1,2011,BL,146.101779011,479.335586635108
50,Centre Street,6235300,2,3,1,2011,BL,255.904055811,839.578556480368
51,South Huntington Avenue,4631500,5,2,0,2010,BL,71.844643897,235.710302521496
52,Huntington Avenue,5627300,3,2,1,2013,SLM,62.7580011919,205.898455747332
53,South Huntington Avenue,5128000,5,2,0,2010,SLM,137.417146501,450.842754824139
54,Commonwealth Avenue,5118700,3,2,1,2019,SBL,73.9483292319,242.612143491489
55,Commonwealth Avenue,5118600,3,2,1,2019,SBL,94.0301606186,308.49728529264
56,River Street,5737500,5,2,0,2012,SLM,17.2043778601,56.4446963942133
57,Washington Street,4870700,3,2,0,2009,BL,46.7931719139,153.5205981759
58,Centre Street,6238600,2,3,1,2011,BL,34.6772467798,113.770267121511
59,Centre Street,4790100,2,3,1,2011,BL,36.1039898909,118.451173472672
60,Walter Street,6240300,6,2,0,2016,BL,16.4181149475,53.8650987903753
61,Walter Street,4806700,6,2,0,2016,BLSL,206.316261405,676.889267623862
62,Walter Street,5222300,6,2,0,2016,BLSL,125.726714728,412.488396563575
63,Centre Street,6277300,2,3,1,2011,BL,70.757999177,232.145202296684
64,North Harvard Street,5222000,5,2,0,2012,BL,22.5072470793,73.8425264783328
65,North Harvard Street,5814001,5,2,0,2009,BLSL,61.7776651959,202.682223252214
66,North Harvard Street,5180600,5,2,0,2009,BL,201.428049555,660.851859230973
67,Western Avenue,5151500,5,2,0,2010,SBLBL,58.5977205956,192.249355016551
68,American Legion Highway,5694800,5,2,1,2009,BFBL,208.571774044,684.289228647543
69,Cummins Highway,4931300,3,2,0,2012,BL,116.768341922,383.097468462438
